[2024-01-01T14:30:37.241+0300][info][gc] Using The Z Garbage Collector
[2024-01-01T14:31:47.668+0300][info][gc] GC(105) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:31:47.767+0300][info][gc] GC(106) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:31:47.875+0300][info][gc] GC(107) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:31:47.968+0300][info][gc] GC(108) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:31:48.067+0300][info][gc] GC(109) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:31:48.167+0300][info][gc] GC(110) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:31:48.267+0300][info][gc] GC(111) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:31:48.373+0300][info][gc] GC(112) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:31:48.470+0300][info][gc] GC(113) Garbage Collection (Allocation Rate) 12M(75%)->10M(62%)
[2024-01-01T14:31:48.868+0300][info][gc] GC(114) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:31:48.966+0300][info][gc] GC(115) Garbage Collection (Allocation Rate) 12M(75%)->10M(62%)
[2024-01-01T14:31:49.366+0300][info][gc] GC(116) Garbage Collection (Allocation Rate) 10M(62%)->10M(62%)
[2024-01-01T14:31:49.466+0300][info][gc] GC(117) Garbage Collection (Allocation Rate) 10M(62%)->10M(62%)
[2024-01-01T14:31:49.866+0300][info][gc] GC(118) Garbage Collection (Allocation Rate) 12M(75%)->10M(62%)
[2024-01-01T14:31:50.876+0300][info][gc] GC(119) Garbage Collection (Proactive) 12M(75%)->12M(75%)
[2024-01-01T14:31:52.267+0300][info][gc] GC(120) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:32:04.867+0300][info][gc] GC(121) Garbage Collection (Allocation Rate) 14M(88%)->12M(75%)
[2024-01-01T14:32:04.967+0300][info][gc] GC(122) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:32:05.066+0300][info][gc] GC(123) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:32:05.166+0300][info][gc] GC(124) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:32:05.266+0300][info][gc] GC(125) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:32:05.366+0300][info][gc] GC(126) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:32:05.466+0300][info][gc] GC(127) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:32:05.566+0300][info][gc] GC(128) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:32:05.666+0300][info][gc] GC(129) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:32:05.766+0300][info][gc] GC(130) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:32:05.866+0300][info][gc] GC(131) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:32:05.966+0300][info][gc] GC(132) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:32:06.066+0300][info][gc] GC(133) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:32:06.166+0300][info][gc] GC(134) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:32:06.266+0300][info][gc] GC(135) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
